Fluff,428
Romance,386
Slow Burn,346
Angst,311
Hogwarts,262
Fluff and Angst,246
Smut,239
Friends to Lovers,218
none,215
Eventual Romance,195
Love,142
Original Character(s),132
Alternate Universe - Canon Divergence,132
Marauders Era (Harry Potter),130
Friendship,127
Eventual Smut,125
Fluff and Smut,119
Explicit Sexual Content,119
Hurt/Comfort,118
Slytherin,118
Enemies to Lovers,115
Falling In Love,103
Death Eaters,99
Drama,98
Enemies to Friends to Lovers,91
Magic,91
Gryffindor,80
Mutual Pining,80
Humor,79
Alternate Universe,78
Marauders,76
Sex,72
Book 4: Harry Potter and the Goblet of Fire,69
Quidditch,68
Romantic Fluff,67
Book 6: Harry Potter and the Half - Blood Prince,67
Hufflepuff,67
Book 5: Harry Potter and the Order of the Phoenix,65
Oral Sex,65
Alternate Universe - Harry Potter Setting,61
Slow Build,60
Character Death,59
Book 7: Harry Potter and the Deathly Hallows,59
Tooth - Rotting Fluff,58
Post - Battle of Hogwarts,58
Drama &amp; Romance,58
Post - Hogwarts,58
Emotional Hurt/Comfort,57
Alternate Universe - Hogwarts,54
Eventual Relationships,54
Teen Romance,53
Ravenclaw,53
Good Draco Malfoy,52
Pureblood Culture (Harry Potter),51
Happy Ending,51
Hogwarts Seventh Year,51
One Shot,51
Slow Romance,50
Angst with a Happy Ending,50
Teacher - Student Relationship,50
Violence,49
Jealousy,49
Fluff and Humor,48
Dark Magic,47
Hogwarts Sixth Year,47
Secret Relationship,47
Rough Sex,47
Established Relationship,47
Fred Weasley Lives,46
Domestic Fluff,46
Angst and Hurt/Comfort,46
Cute,46
Good Slytherins,45
Childhood Friends,45
Battle of Hogwarts,44
Post - War,44
Light Angst,43
Book 3: Harry Potter and the Prisoner of Azkaban,43
Gryffindor/Slytherin Inter - House Relationships,43
Hogwarts Era,43
Canon Compliant,42
Post Traumatic Stress Disorder - PTSD,42
Order of the Phoenix (Harry Potter),42
Wizarding Wars (Harry Potter),40
Other Additional Tags to Be Added,40
Time Travel,40
Sexual Tension,39
Friendship/Love,39
Love/Hate,39
Not Canon Compliant,38
Best Friends,38
Sexual Content,38
Implied/Referenced Child Abuse,38
Harry Potter - Freeform,38
Mystery,38
Explicit Language,38
Pureblood Society (Harry Potter),37
Severus Snape Has a Heart,37
Arranged Marriage,37
Action/Adventure,37
Family,36
