Alternate Universe - Muggle,freq
Sirius Black,383
Remus Lupin,374
Harry Potter,348
Hermione Granger,265
Draco Malfoy,252
James Potter,142
Lily Evans Potter,141
Tom Riddle,92
Ginny Weasley,54
Ron Weasley,43
Bellatrix Black Lestrange,33
Severus Snape,31
Oliver Wood,23
Luna Lovegood,23
none,20
Voldemort,20
Fred Weasley,18
Pansy Parkinson,17
Neville Longbottom,16
Regulus Black,15
Percy Weasley,14
Albus Severus Potter,14
Scorpius Malfoy,14
Marlene McKinnon,13
Narcissa Black Malfoy,13
Theodore Nott,12
Nymphadora Tonks,11
Lucius Malfoy,11
Teddy Lupin,10
George Weasley,8
Reader,7
Victoire Weasley,7
Marcus Flint,7
James Sirius Potter,6
Dorcas Meadowes,6
Original Female Character,5
Fleur Delacour,5
Blaise Zabini,5
Original Male Character,5
Anthony Goldstein,5
Mary Macdonald,4
Minor or Background Relationship,4
Gellert Grindelwald,4
Charlie Weasley,4
Dean Thomas,3
Thorfinn Rowle,3
Andromeda Black Tonks,3
Cho Chang,3
Cormac McLaggen,3
Peter Pettigrew,3
Molly Weasley,3
Cedric Diggory,3
Albus Dumbledore,3
Kukui - hakase | Professor Kukui,3
Newt Scamander,3
Abraxas Malfoy,3
Viktor Krum,3
Seamus Finnigan,2
Lavender Brown,2
Parvati Patil,2
Lily Evans,2
Petunia Evans Dursley,2
Arthur Weasley,2
Fenrir Greyback,2
Hannah Abbott,2
Angelina Johnson,2
Tina Goldstein,2
Rabastan Lestrange,2
Daphne Greengrass,2
Rolf Scamander,2
Bartemius Crouch Jr.,1
Tom Riddle (Female),1
Salazar Slytherin,1
Frank Longbottom,1
fenrir,1
hermione,1
scabior,1
Quirinus Quirrell,1
Asami Ryuichi,1
Marauders,1
Rose Weasley,1
Penelope Clearwater,1
Darcy Lewis,1
Clint Barton,1
Sirus Black,1
Jesus Christ,1
Satan (Judeo - Christian),1
Female Harry potter,1
Astoria Greengrass,1
Scabior,1
Thor ,1
Sybill Trelawney,1
Millicent Bulstrode,1
Padma Patil,1
Ted Tonks,1
Jily - Relationship,1
Horace Slughorn,1
Remus Lupin x Nymphadora Tonks,1
hermione granger,1
tom riddle,1
Queenie Goldstein,1
