BDSM,freq
Harry Potter,261
Draco Malfoy,214
Hermione Granger,195
Severus Snape,120
Remus Lupin,49
Sirius Black,47
Lucius Malfoy,33
Original Female Character,29
Tom Riddle,28
Voldemort,28
Bellatrix Black Lestrange,26
Reader,20
Ron Weasley,19
Pansy Parkinson,16
Ginny Weasley,15
Original Percival Graves,14
Narcissa Black Malfoy,11
Newt Scamander,10
none,9
James Potter,8
Luna Lovegood,8
Charlie Weasley,8
Theodore Nott,7
Fred Weasley,7
Neville Longbottom,6
Original Male Character,6
Gellert Grindelwald,6
George Weasley,6
Bill Weasley,5
Credence Barebone,5
Albus Dumbledore,5
Blaise Zabini,4
Fleur Delacour,4
Regulus Black,4
James Sirius Potter,3
Scorpius Malfoy,3
Other,3
Teddy Lupin,3
Daphne Greengrass,3
Kingsley Shacklebolt,3
Cho Chang,3
Theseus Scamander,3
Percy Jackson,2
Gilderoy Lockhart,2
Jethro Gibbs,2
Dolores Umbridge,2
Fenrir Greyback,2
Albus Severus Potter,2
Percy Weasley,2
Merula Snyde,2
Player Character,2
Torquil Travers,2
Lily Evans Potter,2
Jason Voorhees,2
Colin Farrell,2
Aurora Sinistra,2
Beast,2
Beauty (Beauty and the Beast),2
Harem,1
Hannibal Lecter,1
Will Graham,1
Antonin Dolohov,1
Asami Ryuichi,1
FemHarry (Juniper Potter),1
Goblins,1
Lauren Niemberg,1
Susan Bones,1
Adrian Pucey,1
Frank Zhang,1
Slytherin Students,1
Multi,1
Rubeus Hagrid,1
Loki ,1
Snarry - Relationship,1
Argus Filch,1
Penelope Clearwater,1
Damon Salvatore,1
Margaery Tyrell,1
Everyone,1
Christian Grey,1
Shiloe,1
Jemma Simmons,1
Delphi,1
Hermione,1
Multiples,1
Abraxas Malfoy,1
Rodolphus Lestrange,1
ginny weasley,1
wade winston wilson (deadpool),1
Dobby,1
James Bucky Barnes,1
Edward Cullen,1
Jacob Black,1
Cormac McLaggen,1
Jared Padalecki,1
Jensen Ackles,1
Bartemius Crouch Jr.,1
Aragog,1
reader,1
Greg House,1
Nymphadora Tonks,1
