Blow Jobs,freq
Harry Potter,607
Draco Malfoy,463
Hermione Granger,155
Severus Snape,114
Sirius Black,94
Remus Lupin,92
Ron Weasley,48
Ginny Weasley,32
Lucius Malfoy,28
Scorpius Malfoy,23
Teddy Lupin,22
Tom Riddle,21
Reader,20
Neville Longbottom,20
Albus Severus Potter,20
Theodore Nott,18
Original Female Character,16
Original Percival Graves,16
Pansy Parkinson,15
Fred Weasley,14
Oliver Wood,14
James Potter,13
George Weasley,13
Blaise Zabini,13
Charlie Weasley,12
James Sirius Potter,12
none,11
Voldemort,11
Gellert Grindelwald,10
Credence Barebone,10
Nymphadora Tonks,10
Newt Scamander,9
Narcissa Black Malfoy,9
Albus Dumbledore,8
Daphne Greengrass,8
Original Male Character,7
Marcus Flint,7
Bill Weasley,7
Seamus Finnigan,7
Fleur Delacour,6
Percy Weasley,6
Cormac McLaggen,6
Dean Thomas,5
Regulus Black,5
Arthur Weasley,5
Colin Creevey,4
Luna Lovegood,4
Player Character (Hogwarts Mystery),3
Viktor Krum,3
Lavender Brown,3
Bartemius Crouch Sr.,3
Peter Pettigrew,3
Horace Slughorn,3
Vernon Dursley,3
Player Character,3
Lily Evans Potter,3
Parvati Patil,2
Bellatrix Black Lestrange,2
Gregory Goyle,2
Quirinus Quirrell,2
Tina Goldstein,2
F4M,2
Cedric Diggory,2
Cho Chang,2
Original Character,2
Jon Snow,2
Rose Weasley,2
Adrian Pucey,2
Andromeda Black Tonks,2
Cornelius Fudge,2
Dominique Weasley,2
Circe Avery,1
L,1
Mr Granger,1
Harry Hart | Galahad,1
Rolf Scamander,1
Lore),1
Medusa (Ancient Greek Religion,1
Voldemort (Harry Potter),1
Harry Styles,1
Louis Tomlinson,1
Jasper Hale,1
Isaac Lahey,1
Jackson Whittemore,1
Dobby,1
Astoria Malfoy,1
Susan Bones,1
O&#39;Knutzylus,1
Darcy Lewis,1
Romilda Vane,1
Jae Kim,1
Ask Me,1
Girl Of Readerr Dreams,1
Aberforth Dumbledore,1
Graham Montague,1
Original Characters,1
Riven,1
Septima Vector,1
Aria T&#39;Loak,1
Jack | Subject Zero,1
Tony Stark,1
