First Kiss,freq
Harry Potter,65
Draco Malfoy,34
Severus Snape,18
Hermione Granger,17
Sirius Black,16
Remus Lupin,15
Ginny Weasley,8
Scorpius Malfoy,8
Credence Barebone,6
Original Percival Graves,6
Albus Severus Potter,6
Gellert Grindelwald,5
Albus Dumbledore,4
Tom Riddle,4
Ron Weasley,4
Newt Scamander,3
Voldemort,3
Reader,3
Percy Weasley,2
Bellatrix Black Lestrange,2
Dean Winchester,2
Regulus Black,2
Colin Creevey,2
James Potter,2
Nymphadora Tonks,2
Charlie Weasley,2
Player Character (Hogwarts Mystery),2
Neville Longbottom,2
Cormac McLaggen,2
Oliver Wood,1
Hannibal Lecter,1
Will Graham,1
Aro (Twilight),1
Bartemius Crouch Jr,1
Rabastan Lestrange,1
Johann Struensee,1
Prince Charmont (Ella Enchanted),1
Lucius Malfoy,1
Loki ,1
Frank Zhang,1
Percy Jackson,1
Bill Weasley,1
Harry Styles,1
Louis Tomlinson,1
Isaac Lahey,1
Jackson Whittemore,1
Charmont,1
OMC,1
Kreacher,1
Original Male Character,1
Bartemius Crouch Jr.,1
Original Character,1
Scorpius,1
Teddy,1
Albus Severus Potter - Weasley,1
James Sirius Potter - Weasley,1
Blaise Zabini,1
Rose Weasley,1
Tsu&#39;tey te Rongloa Ateyitan,1
Jae Kim,1
Aziraphale,1
Crowley ,1
Pansy Parkinson,1
Barnaby Lee,1
Original Female Character,1
Elsa,1
Honeymaren (Disney),1
Victoire Weasley,1
Arthur Pendragon (Merlin),1
Merlin,1
Donald Trump,1
Antonin Dolohov,1
James Sirius Potter,1
Teddy Lupin,1
