Idiots in Love,freq
Harry Potter,325
Draco Malfoy,324
Sirius Black,165
Hermione Granger,156
Remus Lupin,156
James Potter,47
Ron Weasley,44
Severus Snape,38
Original Female Character,36
Reader,35
Lily Evans Potter,34
Tom Riddle,33
Fred Weasley,28
George Weasley,15
Newt Scamander,14
Voldemort,14
Scorpius Malfoy,12
Neville Longbottom,11
Pansy Parkinson,11
Theodore Nott,11
Oliver Wood,10
Albus Dumbledore,10
Fleur Delacour,9
Original Percival Graves,8
Albus Severus Potter,8
Marcus Flint,8
Gellert Grindelwald,8
Regulus Black,8
none,7
Ginny Weasley,7
Blaise Zabini,7
Charlie Weasley,7
James Sirius Potter,6
Original Male Character,6
Lucius Malfoy,6
Theseus Scamander,6
Percy Weasley,5
Tina Goldstein,5
Tony Stark,5
Loki ,4
Credence Barebone,4
Marlene McKinnon,4
Narcissa Black Malfoy,4
Luna Lovegood,4
Rose Weasley,4
Teddy Lupin,4
Dorcas Meadowes,3
Daphne Greengrass,3
Katie Bell,3
Rey,3
Merlin (Merlin),3
Nymphadora Tonks,2
Cedric Diggory,2
Peter Pettigrew,2
Terry Boot,2
James Bucky Barnes,2
Salazar Slytherin,2
Castiel,2
Dean Winchester,2
Felix Rosier,2
Kylo Ren,2
Original Character,2
Astoria Greengrass,2
Bill Weasley,2
Arthur Weasley,2
Viktor Krum,2
Dean Thomas,2
Seamus Finnigan,2
Evan Rosier,2
Wilkes,2
Keith,1
Lance (Voltron),1
Alice Longbottom,1
Harry Hart | Galahad,1
Stiles Stilinski,1
Grail Ashford,1
Draco Malefoy,1
Daisy Potter,1
Kylie Ford,1
Damian Wayne,1
Godric Gryffindor,1
Aomine Daiki,1
Kagami Taiga,1
benjamin franklin,1
draco malfoy,1
Klaus Hargreeves,1
Thor ,1
Jonathan Jon Sims | The Archivist,1
Martin Blackwood,1
Betty Cooper,1
Jughead Jones,1
Midoriya Izuku,1
Uraraka Ochako,1
Alcohol,1
Everyone,1
Sugawara Koushi,1
Audrey Weasley,1
Tom Felton,1
Eliot Waugh,1
Quentin Coldwater,1
Millicent Bulstrode,1
