Love,freq
Draco Malfoy,470
Harry Potter,428
Hermione Granger,344
Original Female Character,187
Remus Lupin,178
Severus Snape,173
Sirius Black,153
Reader,124
none,62
Lily Evans Potter,56
James Potter,56
Ron Weasley,53
Fred Weasley,51
Tom Riddle,49
Ginny Weasley,43
Lucius Malfoy,35
Luna Lovegood,32
George Weasley,32
Narcissa Black Malfoy,24
Scorpius Malfoy,24
Original Character,21
Albus Dumbledore,20
Pansy Parkinson,20
Nymphadora Tonks,19
Albus Severus Potter,19
Charlie Weasley,16
Gellert Grindelwald,16
Regulus Black,15
Theodore Nott,14
Bellatrix Black Lestrange,14
Oliver Wood,14
Neville Longbottom,14
Newt Scamander,14
Original Percival Graves,13
Blaise Zabini,13
Voldemort,13
Bill Weasley,12
Teddy Lupin,12
Cedric Diggory,11
Credence Barebone,10
James Sirius Potter,10
Minerva McGonagall,10
Fleur Delacour,10
Other,9
Astoria Greengrass,9
Original Male Character,8
Loki ,7
Rose Weasley,7
Tina Goldstein,7
Seamus Finnigan,6
Kylo Ren,6
Rey,6
Viktor Krum,6
Molly Weasley,6
Marcus Flint,5
Tony Stark,5
Dean Thomas,5
Percy Weasley,5
Andromeda Black Tonks,4
Abraxas Malfoy,4
Snape,4
Arthur Weasley,4
Daphne Greengrass,3
Peter Pettigrew,3
Gregory Goyle,3
Dorcas Meadowes,3
Marlene McKinnon,3
Katie Bell,3
Percy Jackson,3
Lily Luna Potter,3
Merula Snyde,3
Player Character,3
Jon Snow,2
James,2
wolfstar - Relationship,2
Alan Rickman,2
Poppy Pomfrey,2
draco malfoy,2
Gabrielle Delacour,2
Evil Queen | Regina Mills,2
Edward Cullen,2
Kingsley Shacklebolt,2
Alice Longbottom,2
Frank Longbottom,2
Rolf Scamander,2
Arthur Pendragon (Merlin),2
Merlin,2
Bartemius Crouch Jr.,2
Ted Tonks,2
Padma Patil,2
Harry,2
Draco,2
Lee Jordan,2
Canon Relationship,2
Jacob Kowalski,2
James Bucky Barnes,2
Hogwarts Students,2
Aleta Ogord,1
Stakar Ogord,1
Buffy Summers,1
Flora Carrow,1
