POV Draco Malfoy,freq
Draco Malfoy,1139
Harry Potter,646
Hermione Granger,345
none,59
Original Female Character,43
Ron Weasley,28
Luna Lovegood,15
Ginny Weasley,15
Reader,13
Astoria Greengrass,12
Theodore Nott,10
Blaise Zabini,9
Other,8
Lucius Malfoy,8
Narcissa Black Malfoy,8
Neville Longbottom,5
Original Character,5
Albus Severus Potter,5
Scorpius Malfoy,5
Severus Snape,4
Original Male Character,3
Charlie Weasley,3
dramione,3
Remus Lupin,3
Sirius Black,3
Tom Riddle,2
Teddy Lupin,2
Percy Weasley,2
Sherlock Holmes,2
Pansy Parkinson,2
Minor or Background Relationship,2
Fred Weasley,1
George Weasley,1
Viktor Krum,1
Undecided,1
Draco Malfoy - Relationship,1
TBD,1
Octavia Montgomery,1
Emmeline Vance,1
Regulus Black,1
Albus Dumbledore,1
Daphne Greengrass,1
Voldemort,1
John Watson,1
Arthur Weasley,1
Weasley Family,1
Otro,1
Moaning Myrtle,1
Mr Granger,1
Mrs Granger (Harry Potter),1
Love - Relationship,1
Lily Evans Potter,1
Dudley Dursley,1
Gregory Goyle,1
Vincent Crabbe,1
Wanda Maximoff,1
Sabrina Spellman,1
Elsa (Disney),1
Cedric Diggory,1
Abraxas Malfoy,1
Cormac McLaggen,1
Padma Patil,1
Romilda Vane,1
Andromeda Black Tonks,1
Lavender Brown,1
Hannah Abbott,1
Cho Chang - Relationship,1
Minor Harry Potter,1
Millicent Bulstrode,1
Pius Thicknesse,1
Yaxley,1
