Severus Snape Lives,freq
Severus Snape,206
Hermione Granger,115
Harry Potter,74
Draco Malfoy,28
Original Female Character,13
Lucius Malfoy,8
Remus Lupin,6
Narcissa Black Malfoy,5
Lily Evans Potter,3
Sirius Black,3
Neville Longbottom,3
Reader,3
Luna Lovegood,2
Andromeda Black Tonks,2
Theodore Nott,2
Ginny Weasley,2
Loki ,2
Severus Snape x Reader,1
Harry Hart | Galahad,1
Tom Riddle,1
Aurora Sinistra,1
Original Character,1
Nymphadora Tonks,1
Sung Jin - Woo,1
none,1
Pansy Parkinson,1
Alastor Moody,1
Cedric Diggory,1
Sabrina Spellman,1
Ron Weasley,1
