Slow Build,freq
Draco Malfoy,88
Harry Potter,80
Hermione Granger,64
Severus Snape,44
Original Female Character,17
Sirius Black,10
Remus Lupin,9
Tom Riddle,6
Voldemort,6
Lucius Malfoy,5
Reader,4
Ginny Weasley,3
Blaise Zabini,3
Original Character,2
Fred Weasley,2
Theodore Nott,2
Neville Longbottom,2
Charlie Weasley,2
none,2
Bellatrix Black Lestrange,2
Dean Winchester,2
Narcissa Black Malfoy,2
Hermine Granger,1
Ron Weasley,1
L,1
Daphne Greengrass,1
Pansy Parkinson,1
James Potter,1
Penny Haywood,1
Albus Dumbledore,1
Gellert Grindelwald,1
Darth Maul,1
Harry Styles,1
Louis Tomlinson,1
Hannah Abbott,1
Lily Luna Potter,1
Fleur Delacour,1
Minerva McGonagall,1
Nymphadora Tonks,1
Scabior,1
Noah Puckerman,1
Roger Davies,1
Castiel,1
Credence Barebone,1
Original Percival Graves,1
Anthony DiNozzo,1
Jethro Gibbs,1
James Sirius Potter,1
Teddy Lupin,1
Arthur Weasley,1
Molly Weasley,1
Arthur Pendragon (Merlin),1
Merlin,1
Tom Riddle | Harry Potter,1
Rose Weasley,1
