Slytherin,freq
Draco Malfoy,31
Original Female Character,16
Hermione Granger,10
Harry Potter,10
Reader,7
Severus Snape,6
Original Male Character,4
Regulus Black,3
Lucius Malfoy,3
Fred Weasley,2
Bellatrix Black Lestrange,2
Sirius Black,2
Aurora Sinistra,2
Astoria Greengrass,2
Kunzite,1
Zoisite,1
Remus Lupin,1
Orion Amari,1
Severus Snape x Reader,1
Theodore Nott,1
Miya Atsumu,1
Miya Osamu,1
Harry Styles,1
Louis Tomlinson,1
Asterin Nott,1
Tom Riddle,1
Ginny Weasley,1
Eleonora Severin,1
daenerys targaryen,1
dorian havilliard,1
F4M,1
Andromeda Black Tonks,1
Ted Tonks,1
Barnaby Lee,1
Player Character,1
Reader x snape,1
Jason Isaacs,1
Tom Felton,1
Millicent Bulstrode,1
Student,1
student - Relationship,1
none,1
James Sirius Potter,1
Teddy Lupin,1
Narcissa Black Malfoy,1
Blaise Zabini,1
OFC,1
OMC,1
