Violence,freq
Harry Potter,360
Draco Malfoy,301
Hermione Granger,263
none,122
Severus Snape,119
Sirius Black,96
Original Female Character,86
Tom Riddle,85
Remus Lupin,71
Voldemort,45
James Potter,32
Bellatrix Black Lestrange,28
Reader,25
Lucius Malfoy,24
Lily Evans Potter,23
Original Character,23
Ron Weasley,20
Ginny Weasley,18
Regulus Black,17
Narcissa Black Malfoy,17
Theodore Nott,13
Original Percival Graves,12
Original Male Character,11
Fred Weasley,10
Jean - Claude (Anita Blake),9
George Weasley,9
Percy Weasley,9
Newt Scamander,8
James Sirius Potter,8
Edward (Anita Blake),7
Micah Callahan,7
Luna Lovegood,7
Oliver Wood,7
Tony Stark,7
Albus Severus Potter,7
Scorpius Malfoy,7
Cedric Diggory,6
Fenrir Greyback,6
Albus Dumbledore,6
Gellert Grindelwald,6
Teddy Lupin,6
Daphne Greengrass,5
Nymphadora Tonks,5
Blaise Zabini,5
Marcus Flint,5
Credence Barebone,5
Pansy Parkinson,4
Dean Winchester,4
Fleur Delacour,4
Rodolphus Lestrange,4
Peter Pettigrew,3
Other,3
Neville Longbottom,3
Death,3
Astoria Greengrass,3
Katie Bell,3
Salazar Slytherin,3
Multi,3
Bartemius Crouch Jr.,3
James Bucky Barnes,3
Hannibal Lecter,3
Will Graham,3
Eileen Prince,3
Canon Relationship,3
Min Yoongi | Suga,2
Antonin Dolohov,2
Petunia Evans Dursley,2
Vernon Dursley,2
Steve Rogers,2
Finn O&#39;Hara,2
Leo Knut,2
Jasper Hale,2
Jeon Jungkook,2
Loki,2
Orion Black,2
Walburga Black,2
Andromeda Black Tonks,2
Penelope Clearwater,2
Rose Weasley,2
Kylo Ren,2
Rey,2
Lavender Brown,2
Richard B. Riddick,2
Loki ,2
Seth Clearwater,2
Thorfinn Rowle,2
Marlene McKinnon,2
The Defense Association,2
Charlie Weasley,2
Abraxas Malfoy,2
Flora Carrow,2
Dolores Umbridge,2
Bill Weasley,2
Angelina Johnson,1
Spike (BtVS),1
Storm Polaris,1
Kurusu Akira,1
Okumura Haru,1
Percival Graves,1
Orion Amari,1
Madeline Halstead,1
